Title:;SYBRGreen 40x + MeltingCurve
Date/Time:;02.03.2023 18:44:12;02.03.2023 18:44:12
Device:;qTOWER³/G;3107C-1033
Operator:;Eugenio
Comments:;
Colors+Dyes:;Pos;Color Module;Dye;Gain;Meas;Refr
;1;Blue.470.520.11.3;SybrGreen;5;*;
Heated Lid:;100°C
TC Protocol:;steps;scan;°C;m:s;goto;loops;delta Temp(°C);delta Time (s);ramp (°C/s
;1;;96;05:00;0;0;0;0;8
;2;;96;00:30;0;0;0;0;6
;3;;60;00:30;0;0;0;0;6
;4;*;72;00:30;2;39;0;0;6
;5;;72;05:00;0;0;0;0;6
;6;*;60;00:15;6;35;1;0;5
Melt active:;Yes
Meas. Repeats:;3
Color Comp.:;

Well;;Sample name;Sample type;Gene;Ct;Mean Ct;Conc. Std.;Mean Conc.;Std.Dev. Ct;Std.Dev. Mean Conc.
A1;;Std01;Standard;SOX1;6,34;6,34;1;14,097286773201;0,18;2,521973969359
A2;;Std02;Standard;SOX1;9,12;9,13;0,1;0,917564773895;0,1;0,087482198604
A3;;Std03;Standard;SOX1;12,55;12,76;0,01;0,026255614442;0,23;0,006035987224
A4;;Std04;Standard;SOX1;16,13;16,32;0,001;0,000806433713;0,28;0,000224354434
A5;;Std05;Standard;SOX1;19,21;19,48;0,0001;3,6668861E-5;0,24;8,510351E-6
A6;;Std06;Standard;SOX1;23,29;23,14;1E-5;1,01751E-6;0,24;2,35819E-7
A7;;Std07;Standard;SOX1;27,67;27,65;1E-6;1,2326E-8;0,2;2,436E-9
A8;;Std08;Standard;SOX1;28,52;28,88;1E-7;3,697E-9;0,49;1,765E-9
A9;;Std09;Standard;SOX1;30,31;29,69;1E-8;1,66E-9;1,21;1,96E-9
A10;;Std10;Standard;SOX1;31,2;29,98;1E-9;1,25E-9;1,26;1,546E-9
A11;;Std11;Standard;SOX1;30,68;29,9;1E-10;1,358E-9;0,84;1,116E-9
A12;;Std12;Standard;SOX1;31,15;30,49;1E-11;7,62E-10;0,57;4,29E-10
B1;;Std01;Standard;SOX1;6,52;6,34;1;14,097286773201;0,18;2,521973969359
B2;;Std02;Standard;SOX1;9,04;9,13;0,1;0,917564773895;0,1;0,087482198604
B3;;Std03;Standard;SOX1;12,72;12,76;0,01;0,026255614442;0,23;0,006035987224
B4;;Std04;Standard;SOX1;16,64;16,32;0,001;0,000806433713;0,28;0,000224354434
B5;;Std05;Standard;SOX1;19,66;19,48;0,0001;3,6668861E-5;0,24;8,510351E-6
B6;;Std06;Standard;SOX1;22,86;23,14;1E-5;1,01751E-6;0,24;2,35819E-7
B7;;Std07;Standard;SOX1;27,43;27,65;1E-6;1,2326E-8;0,2;2,436E-9
B8;;Std08;Standard;SOX1;29,43;28,88;1E-7;3,697E-9;0,49;1,765E-9
B9;;Std09;Standard;SOX1;28,3;29,69;1E-8;1,66E-9;1,21;1,96E-9
B10;;Std10;Standard;SOX1;28,67;29,98;1E-9;1,25E-9;1,26;1,546E-9
B11;;Std11;Standard;SOX1;29,01;29,9;1E-10;1,358E-9;0,84;1,116E-9
B12;;Std12;Standard;SOX1;30,1;30,49;1E-11;7,62E-10;0,57;4,29E-10
